"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"事業所数（民営）_由良町","事業所","","529.0","","","","","522.0","","","","","519.0","","","494.0","","471.0","","","463.0","","461.0","","","440.0","","425.0",""
"事業所数（民営）_印南町","事業所","","449.0","","","","","506.0","","","","","511.0","","","502.0","","515.0","","","471.0","","469.0","","","428.0","","441.0",""
"事業所数（民営）_みなべ町","事業所","","830.0","","","","","826.0","","","","","807.0","","","797.0","","843.0","","","806.0","","834.0","","","814.0","","825.0",""
"事業所数（民営）_旧南部川村","事業所","","251.0","","","","","248.0","","","","","236.0","","","238.0","","240.0","","","232.0","","269.0","","","284.0","","…",""
"事業所数（民営）_旧南部町","事業所","","579.0","","","","","578.0","","","","","571.0","","","559.0","","603.0","","","574.0","","565.0","","","530.0","","…",""
"事業所数（民営）_日高川町","事業所","","543.0","","","","","579.0","","","","","566.0","","","628.0","","620.0","","","609.0","","575.0","","","600.0","","581.0",""
"事業所数（民営）_旧川辺町","事業所","","218.0","","","","","252.0","","","","","254.0","","","326.0","","327.0","","","324.0","","316.0","","","359.0","","…",""
"事業所数（民営）_旧中津村","事業所","","165.0","","","","","176.0","","","","","175.0","","","170.0","","161.0","","","163.0","","140.0","","","132.0","","…",""
"事業所数（民営）_旧美山村","事業所","","160.0","","","","","151.0","","","","","137.0","","","132.0","","132.0","","","122.0","","119.0","","","109.0","","…",""
"事業所数（民営）_白浜町","事業所","","1882.0","","","","","1874.0","","","","","1884.0","","","1827.0","","1774.0","","","1621.0","","1602.0","","","1448.0","","1373.0",""
"事業所数（民営）_旧白浜町","事業所","","1514.0","","","","","1498.0","","","","","1498.0","","","1459.0","","1448.0","","","1313.0","","1245.0","","","1105.0","","…",""
"事業所数（民営）_旧日置川町","事業所","","368.0","","","","","376.0","","","","","386.0","","","368.0","","326.0","","","308.0","","357.0","","","343.0","","…",""
"事業所数（民営）_上富田町","事業所","","533.0","","","","","598.0","","","","","608.0","","","618.0","","630.0","","","636.0","","643.0","","","589.0","","619.0",""
"事業所数（民営）_すさみ町","事業所","","476.0","","","","","467.0","","","","","437.0","","","431.0","","403.0","","","385.0","","369.0","","","352.0","","380.0",""
"事業所数（民営）_那智勝浦町","事業所","","1514.0","","","","","1559.0","","","","","1492.0","","","1472.0","","1400.0","","","1311.0","","1274.0","","","1246.0","","1208.0",""
"事業所数（民営）_太地町","事業所","","276.0","","","","","295.0","","","","","275.0","","","261.0","","240.0","","","221.0","","225.0","","","220.0","","207.0",""
"事業所数（民営）_古座川町","事業所","","279.0","","","","","270.0","","","","","246.0","","","248.0","","254.0","","","248.0","","250.0","","","226.0","","206.0",""
"事業所数（民営）_北山村","事業所","","51.0","","","","","48.0","","","","","47.0","","","45.0","","45.0","","","47.0","","45.0","","","46.0","","44.0",""
"事業所数（民営）_串本町","事業所","","1851.0","","","","","1792.0","","","","","1747.0","","","1663.0","","1639.0","","","1565.0","","1555.0","","","1558.0","","1493.0",""
"事業所数（民営）_旧串本町","事業所","","1336.0","","","","","1292.0","","","","","1248.0","","","1186.0","","1182.0","","","1125.0","","1145.0","","","1157.0","","…",""
"事業所数（民営）_旧古座町","事業所","","515.0","","","","","500.0","","","","","499.0","","","477.0","","457.0","","","440.0","","410.0","","","401.0","","…",""
"従業者数（総数）","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"従業者数（総数）_和歌山県","人","","412329.0","","","","","415085.0","","","","","437585.0","","","…","","449848.0","","","…","","424360.0","","","…","","400400.0",""
